City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP_Masked
Washington,Washington,United States,98168,47.4941,-122.294,America/Los_Angeles,Hostwinds LLC.,Other,AS54290 Hostwinds LLC.,103.xxx.xxx.xxx
Colorado,Colorado,United States,80111,39.6029,-104.889,America/Denver,Spectrum,Other,,76.xxx.xxx.xxx
Hesse,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",3.xxx.xxx.xxx
North Carolina,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,,56.xxx.xxx.xxx
Victoria,Victoria,Australia,3058,-37.744,144.9682,Australia/Melbourne,Australian Academic and Research Network,Other,AS7575 Australian Academic and Research Network (AARNet),131.xxx.xxx.xxx
Kansas,Kansas,United States,66251,38.9162,-94.6618,America/Chicago,Sprint Nextel Corporation,Other,,107.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,ARTERIA Networks Corporation,Other,AS17506 ARTERIA Networks Corporation,115.xxx.xxx.xxx
Washington,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,57.xxx.xxx.xxx
Tokyo,Tokyo,Japan,151-0071,35.6837,139.6805,Asia/Tokyo,Internet Initiative Japan Inc.,Other,AS2497 Internet Initiative Japan Inc.,210.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,33.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,22.xxx.xxx.xxx
Rio de Janeiro,Rio de Janeiro,Brazil,,-22.9072,-43.1883,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Other,AS28573 Claro NXT Telecomunicacoes Ltda,179.xxx.xxx.xxx
Beijing,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,,175.xxx.xxx.xxx
Virginia,Virginia,United States,20147,39.011,-77.4711,America/New_York,Verizon Business,Verizon Business,,206.xxx.xxx.xxx
Wisconsin,Wisconsin,United States,54601,43.8138,-91.2519,America/Chicago,CenturyLink,Other,AS19901 Brightspeed,184.xxx.xxx.xxx
Uusimaa,Uusimaa,Finland,240,60.207,24.9207,Europe/Helsinki,Cinia Oy,Other,AS20904 Cinia Oy,77.xxx.xxx.xxx
Baden-Wurttemberg,Baden-Wurttemberg,Germany,70327,48.7863,9.23807,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG,53.xxx.xxx.xxx
Michigan,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,19.xxx.xxx.xxx
North Carolina,North Carolina,United States,27709,35.905,-78.8566,America/New_York,IBM,IBM,,9.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,1000,-23.6283,-46.6409,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A,177.xxx.xxx.xxx
North Carolina,North Carolina,United States,28223,35.307,-80.7309,America/New_York,University of North Carolina at Charlotte,Other,AS53384 University of North Carolina at Charlotte,152.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,214.xxx.xxx.xxx
Beijing,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,,175.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,26.xxx.xxx.xxx
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,V tal,Other,AS7738 V tal,152.xxx.xxx.xxx
Hesse,Hesse,Germany,60313,50.1188,8.6843,Europe/Berlin,COLT Technology Services Group Limited,Other,AS8220 COLT Technology Services Group Limited,57.xxx.xxx.xxx
Free and Hanseatic City of Hamburg,Free and Hanseatic City of Hamburg,Germany,20038,53.5511,9.99368,Europe/Berlin,TNG Stadtnetz GmbH,Other,AS13101 TNG Stadtnetz GmbH,89.xxx.xxx.xxx
Iowa,Iowa,United States,50309,41.5908,-93.6208,America/Chicago,Microsoft Corporation,Other,AS8075 Microsoft Corporation,52.xxx.xxx.xxx
Gyeonggi-do,Gyeonggi-do,South Korea,13606,37.3638,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,183.xxx.xxx.xxx
Ohio,Ohio,United States,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc.",3.xxx.xxx.xxx
Alabama,Alabama,United States,36114,32.4033,-86.2383,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center,143.xxx.xxx.xxx
Free and Hanseatic City of Hamburg,Free and Hanseatic City of Hamburg,Germany,22085,53.5755,10.0174,Europe/Berlin,Telefonica Deutschland GmbH,Other,AS6805 Telefonica Germany GmbH & Co.OHG,77.xxx.xxx.xxx
England,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,,15.xxx.xxx.xxx
Illinois,Illinois,United States,60439,41.7183,-87.9789,America/Chicago,Argonne National Laboratory,Other,AS683 Argonne National Laboratory,140.xxx.xxx.xxx
Washington,Washington,United States,98194,47.597,-122.328,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,160.xxx.xxx.xxx
New Jersey,New Jersey,United States,7057,40.8543,-74.1056,America/New_York,Static IP Services,Other,AS6128 Cablevision Systems Corp.,75.xxx.xxx.xxx
New York,New York,United States,10123,40.7128,-74.006,America/New_York,CenturyLink,Other,"AS209 CenturyLink Communications, LLC",65.xxx.xxx.xxx
Ohio,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,28.xxx.xxx.xxx
Tokyo,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.,219.xxx.xxx.xxx
Kyoto,Kyoto,Japan,610-0111,34.848,135.7921,Asia/Tokyo,"Kintetsu Cable Network Co., Ltd.",Other,"AS18081 Kintetsu Cable Network Co., Ltd.",61.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,D-cruise,Other,AS7687 TOYOTA DIGITAL CRUISE.INCORPORATED,119.xxx.xxx.xxx
California,California,United States,94704,37.8706,-122.271,America/Los_Angeles,BARRA,Other,,144.xxx.xxx.xxx
Illinois,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,Google Fiber Inc.,Other,AS16591 Google Fiber Inc.,136.xxx.xxx.xxx
Washington,Washington,United States,98111,47.6062,-122.332,America/Los_Angeles,"Wayport, LLC",Other,AS14654 AT&T Corp.,206.xxx.xxx.xxx
Missouri,Missouri,United States,65109,38.5669,-92.2543,America/Chicago,University of Missouri - dba the Missouri Research and Education Network,Other,AS2572 University of Missouri - dba the Missouri Research and Education Network (MOREnet),150.xxx.xxx.xxx
