Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Hesse,Germany,60***,50.1,8.7,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Mecca Region,Saudi Arabia,,21.5,39.2,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Île-de-France,France,75***,48.8,2.3,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Khomas Region,Namibia,,-22.6,17.1,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,
North Carolina,United States,27***,35.8,-78.6,America/New_York,United States Postal Service.,United States Postal Service,
Victoria,Australia,30**,-37.7,145.0,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Kansas,United States,66***,38.9,-94.7,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Japan,15******,35.7,139.7,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
Rio de Janeiro,Brazil,,-22.9,-43.2,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Beijing,China,,39.9,116.3,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Virginia,United States,20***,39.0,-77.5,America/New_York,Verizon Business,Verizon Business,
Wisconsin,United States,54***,43.8,-91.3,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,
Uusimaa,Finland,24*,60.2,24.9,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Baden-Wurttemberg,Germany,70***,48.8,9.2,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Michigan,United States,48***,42.3,-83.2,America/Detroit,Ford Motor Company,Ford Motor Company,
North Carolina,United States,27***,35.9,-78.9,America/New_York,IBM,IBM,
São Paulo,Brazil,10**,-23.6,-46.6,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
North Carolina,United States,28***,35.3,-80.7,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Beijing,China,,39.9,116.3,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,Brazil,01*******,-23.6,-46.6,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Hesse,Germany,60***,50.1,8.7,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,
,,,,,,,,
Free and Hanseatic City of Hamburg,Germany,20***,53.6,10.0,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Iowa,United States,50***,41.6,-93.6,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,
