City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Mumbai,Maharashtra,India,400078,19.0,73.0,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,,
Lomé,Maritime,Togo,,6.0,1.0,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,,
Silver Spring,Maryland,United States,20904,39.0,-77.0,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,,
Haikou,Hainan,China,,20.0,110.0,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Zhengzhou,Henan,China,450000,35.0,114.0,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Chiyoda,Tokyo,Japan,100-0001,36.0,140.0,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,,
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Richlands,North Carolina,United States,28574,35.0,-78.0,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Livingston,Scotland,United Kingdom,EH54,56.0,-4.0,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taipei,Taiwan,Taiwan,,25.0,122.0,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Tampere,Pirkanmaa,Finland,33900,61.0,24.0,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Dublin,Leinster,Ireland,D02,53.0,-6.0,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,New York,United States,10123,41.0,-74.0,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
Leidschendam,South Holland,The Netherlands,2263,52.0,4.0,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
San Francisco,California,United States,94107,38.0,-122.0,America/Los_Angeles,Fastly,"Fastly, Inc.",
Cincinnati,Ohio,United States,45201,39.0,-85.0,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Huechuraba,Santiago Metropolitan,Chile,8580000,-33.0,-71.0,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Sierra Vista,Arizona,United States,85613,32.0,-110.0,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
Victoria,British Columbia,Canada,V8T,48.0,-123.0,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Richmond Hill,Ontario,Canada,L4C,44.0,-79.0,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Tucson,Arizona,United States,85706,32.0,-111.0,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Dearborn,Michigan,United States,48121,42.0,-83.0,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Donetsk,Ukraine,7512,48.0,38.0,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Brewton,Alabama,United States,36426,31.0,-87.0,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
