3300.0,"Clinical Laboratory Technologists And Technicians","Healthcare Practitioners","Healthcare","*"
3310.0,"Dental Hygienists","Healthcare Practitioners","Healthcare","*"
3321.0,"Cardiovascular Technologists and Technicians","Healthcare Practitioners","Healthcare","*"
3322.0,"Diagnostic Medical Sonographers","Healthcare Practitioners","Healthcare","*"
3323.0,"Radiologic Technologists And Technicians","Healthcare Practitioners","Healthcare","*"
3324.0,"Magnetic Resonance Imaging Technologists","Healthcare Practitioners","Healthcare","*"
3330.0,"Nuclear Medicine Technologists and Medical Dosimetrists","Healthcare Practitioners","Healthcare","*"
3401.0,"Emergency Medical Technicians","Healthcare Practitioners","Healthcare","*"
3402.0,"Paramedics","Healthcare Practitioners","Healthcare","*"
3421.0,"Pharmacy Technicians","Healthcare Practitioners","Healthcare","*"
3422.0,"Psychiatric Technicians","Healthcare Practitioners","Healthcare","*"
3423.0,"Surgical Technologists","Healthcare Practitioners","Healthcare","*"
3424.0,"Veterinary Technologists and Technicians","Healthcare Practitioners","Healthcare","*"
3430.0,"Dietetic Technicians And Ophthalmic Medical Technicians","Healthcare Practitioners","Healthcare","*"
3500.0,"Licensed Practical And Licensed Vocational Nurses","Healthcare Practitioners","Healthcare","*"
3515.0,"Medical Records Specialists","Healthcare Practitioners","Healthcare","*"
3520.0,"Opticians, Dispensing","Healthcare Practitioners","Healthcare","*"
3545.0,"Miscellaneous Health Technologists and Technicians","Healthcare Practitioners","Healthcare","*"
3550.0,"Other Healthcare Practitioners and Technical Occupations","Healthcare Practitioners","Healthcare","*"
3601.0,"Home Health Aides","Healthcare Support","Healthcare","*"
3602.0,"Personal Care Aides","Healthcare Support","Healthcare","*"
3603.0,"Nursing Assistants","Healthcare Support","Healthcare","*"
3605.0,"Orderlies and Psychiatric Aides","Healthcare Support","Healthcare","*"
3610.0,"Occupational Therapy Assistants And Aides","Healthcare Support","Healthcare","*"
3620.0,"Physical Therapist Assistants And Aides","Healthcare Support","Healthcare","*"
3630.0,"Massage Therapists","Healthcare Support","Healthcare","*"
3640.0,"Dental Assistants","Healthcare Support","Healthcare","*"
3645.0,"Medical Assistants","Healthcare Support","Healthcare","*"
3646.0,"Medical Transcriptionists","Healthcare Support","Healthcare","*"
3647.0,"Pharmacy Aides","Healthcare Support","Healthcare","*"
3648.0,"Veterinary Assistants And Laboratory Animal Caretakers","Healthcare Support","Healthcare","*"
3649.0,"Phlebotomists","Healthcare Support","Healthcare","*"
3655.0,"Other Healthcare Support Workers","Healthcare Support","Healthcare","*"
3700.0,"First-Line Supervisors Of Correctional Officers","Protective Service","Public / Social Service","*"
3710.0,"First-Line Supervisors Of Police And Detectives","Protective Service","Public / Social Service","*"
3720.0,"First-Line Supervisors Of Firefighting And Prevention Workers","Protective Service","Public / Social Service","*"
3725.0,"Miscellaneous First-Line Supervisors, Protective Service Workers","Protective Service","Public / Social Service","*"
3740.0,"Firefighters","Protective Service","Public / Social Service","*"
3750.0,"Fire Inspectors","Protective Service","Public / Social Service","*"
3801.0,"Bailiffs","Protective Service","Public / Social Service","*"
3802.0,"Correctional Officers and Jailers","Protective Service","Public / Social Service","*"
3820.0,"Detectives And Criminal Investigators","Protective Service","Public / Social Service","*"
3840.0,"Fish And Game Wardens And Parking Enforcement Officers","Protective Service","Public / Social Service","*"
3870.0,"Police Officers","Protective Service","Public / Social Service","*"
3900.0,"Animal Control Workers","Protective Service","Public / Social Service","*"
3910.0,"Private Detectives And Investigators","Protective Service","Public / Social Service","*"
3930.0,"Security Guards And Gambling Surveillance Officers","Protective Service","Public / Social Service","*"
3940.0,"Crossing Guards And Flaggers","Protective Service","Public / Social Service","*"
3945.0,"Transportation Security Screeners","Protective Service","Public / Social Service","*"
3946.0,"School Bus Monitors","Protective Service","Public / Social Service","*"
3960.0,"Other Protective Service Workers","Protective Service","Public / Social Service","*"
4000.0,"Chefs And Head Cooks","Food Preparation","Service / Hospitality","*"
4010.0,"First-Line Supervisors Of Food Preparation And Serving Workers","Food Preparation","Service / Hospitality","*"
4020.0,"Cooks","Food Preparation","Service / Hospitality","*"
4030.0,"Food Preparation Workers","Food Preparation","Service / Hospitality","*"
4040.0,"Bartenders","Food Preparation","Service / Hospitality","*"
4055.0,"Fast Food And Counter Workers","Food Preparation","Service / Hospitality","*"
4110.0,"Waiters And Waitresses","Food Preparation","Service / Hospitality","*"
4120.0,"Food Servers, Nonrestaurant","Food Preparation","Service / Hospitality","*"
4130.0,"Dining Room And Cafeteria Attendants And Bartender Helpers","Food Preparation","Service / Hospitality","*"
4140.0,"Dishwashers","Food Preparation","Service / Hospitality","*"
4150.0,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","Food Preparation","Service / Hospitality","*"
4160.0,"Food Preparation and Serving Related Workers, All Other","Food Preparation","Service / Hospitality","*"
4200.0,"First-Line Supervisors Of Housekeeping And Janitorial Workers","Building & Cleaning","Service / Manual","*"
4210.0,"First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","Building & Cleaning","Service / Manual","*"
4220.0,"Janitors And Building Cleaners","Building & Cleaning","Service / Manual","*"
4230.0,"Maids And Housekeeping Cleaners","Building & Cleaning","Service / Manual","*"
4240.0,"Pest Control Workers","Building & Cleaning","Service / Manual","*"
4251.0,"Landscaping And Groundskeeping Workers","Building & Cleaning","Service / Manual","*"
4252.0,"Tree Trimmers and Pruners","Building & Cleaning","Service / Manual","*"
4255.0,"Other Grounds Maintenance Workers","Building & Cleaning","Service / Manual","*"
4330.0,"Supervisors Of Personal Care And Service Workers","Personal Care","Service / Hospitality","*"
4340.0,"Animal Trainers","Personal Care","Service / Hospitality","*"
4350.0,"Animal Caretakers","Personal Care","Service / Hospitality","*"
4400.0,"Gambling Services Workers","Personal Care","Service / Hospitality","*"
4420.0,"Ushers, Lobby Attendants, And Ticket Takers","Personal Care","Service / Hospitality","*"
4435.0,"Other Entertainment Attendants And Related Workers","Personal Care","Service / Hospitality","*"
4461.0,"Embalmers, Crematory Operators And Funeral Attendants","Personal Care","Service / Hospitality","*"
4465.0,"Morticians, Undertakers, And Funeral Arrangers","Personal Care","Service / Hospitality","*"
4500.0,"Barbers","Personal Care","Service / Hospitality","*"
4510.0,"Hairdressers, Hairstylists, And Cosmetologists","Personal Care","Service / Hospitality","*"
4521.0,"Manicurists And Pedicurists","Personal Care","Service / Hospitality","*"
4522.0,"Skincare Specialists","Personal Care","Service / Hospitality","*"
4525.0,"Other Personal Appearance Workers","Personal Care","Service / Hospitality","*"
4530.0,"Baggage Porters, Bellhops, And Concierges","Personal Care","Service / Hospitality","*"
4540.0,"Tour And Travel Guides","Personal Care","Service / Hospitality","*"
4600.0,"Childcare Workers","Personal Care","Service / Hospitality","*"
4621.0,"Exercise Trainers And Group Fitness Instructors","Personal Care","Service / Hospitality","*"
4622.0,"Recreation Workers","Personal Care","Service / Hospitality","*"
4640.0,"Residential Advisors","Personal Care","Service / Hospitality","*"
4655.0,"Personal Care and Service Workers, All Other","Personal Care","Service / Hospitality","*"
4700.0,"First-Line Supervisors Of Retail Sales Workers","Sales","Sales & Office","*"
4710.0,"First-Line Supervisors Of Non-Retail Sales Workers","Sales","Sales & Office","*"
4720.0,"Cashiers","Sales","Sales & Office","*"
4740.0,"Counter And Rental Clerks","Sales","Sales & Office","*"
4750.0,"Parts Salespersons","Sales","Sales & Office","*"
4760.0,"Retail Salespersons","Sales","Sales & Office","*"
4800.0,"Advertising Sales Agents","Sales","Sales & Office","*"
4810.0,"Insurance Sales Agents","Sales","Sales & Office","*"
4820.0,"Securities, Commodities, And Financial Services Sales Agents","Sales","Sales & Office","*"
4830.0,"Travel Agents","Sales","Sales & Office","*"
4840.0,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","Sales","Sales & Office","*"
4850.0,"Sales Representatives, Wholesale And Manufacturing","Sales","Sales & Office","*"
4900.0,"Models, Demonstrators, And Product Promoters","Sales","Sales & Office","*"
4920.0,"Real Estate Brokers And Sales Agents","Sales","Sales & Office","*"
4930.0,"Sales Engineers","Sales","Sales & Office","*"
4940.0,"Telemarketers","Sales","Sales & Office","*"
4950.0,"Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","Sales","Sales & Office","*"
4965.0,"Sales And Related Workers, All Other","Sales","Sales & Office","*"
5000.0,"First-Line Supervisors Of Office And Administrative Support Workers","Office & Administrative","Sales & Office","*"
5010.0,"Switchboard Operators, Including Answering Service","Office & Administrative","Sales & Office","*"
5020.0,"Telephone Operators","Office & Administrative","Sales & Office","*"
5040.0,"Communications Equipment Operators, All Other","Office & Administrative","Sales & Office","*"
5100.0,"Bill And Account Collectors","Office & Administrative","Sales & Office","*"
5110.0,"Billing And Posting Clerks","Office & Administrative","Sales & Office","*"
5120.0,"Bookkeeping, Accounting, And Auditing Clerks","Office & Administrative","Sales & Office","*"
5140.0,"Payroll And Timekeeping Clerks","Office & Administrative","Sales & Office","*"
5150.0,"Procurement Clerks","Office & Administrative","Sales & Office","*"
5160.0,"Tellers","Office & Administrative","Sales & Office","*"
5165.0,"Other Financial Clerks","Office & Administrative","Sales & Office","*"
5220.0,"Court, Municipal, And License Clerks","Office & Administrative","Sales & Office","*"
5230.0,"Credit Authorizers, Checkers, And Clerks","Office & Administrative","Sales & Office","*"
5240.0,"Customer Service Representatives","Office & Administrative","Sales & Office","*"
5250.0,"Eligibility Interviewers, Government Programs","Office & Administrative","Sales & Office","*"
5260.0,"File Clerks","Office & Administrative","Sales & Office","*"
5300.0,"Hotel, Motel, And Resort Desk Clerks","Office & Administrative","Sales & Office","*"
5310.0,"Interviewers, Except Eligibility And Loan","Office & Administrative","Sales & Office","*"
5320.0,"Library Assistants, Clerical","Office & Administrative","Sales & Office","*"
5330.0,"Loan Interviewers And Clerks","Office & Administrative","Sales & Office","*"
5340.0,"New Accounts Clerks","Office & Administrative","Sales & Office","*"
5350.0,"Correspondence Clerks And Order Clerks","Office & Administrative","Sales & Office","*"
5360.0,"Human Resources Assistants, Except Payroll And Timekeeping","Office & Administrative","Sales & Office","*"
5400.0,"Receptionists And Information Clerks","Office & Administrative","Sales & Office","*"
5410.0,"Reservation And Transportation Ticket Agents And Travel Clerks","Office & Administrative","Sales & Office","*"
5420.0,"Other Information And Records Clerks","Office & Administrative","Sales & Office","*"
5500.0,"Cargo And Freight Agents","Office & Administrative","Sales & Office","*"
5510.0,"Couriers And Messengers","Office & Administrative","Sales & Office","*"
5521.0,"Public Safety Telecommunicators","Office & Administrative","Sales & Office","*"
5522.0,"Dispatchers, Except Police, Fire, And Ambulance","Office & Administrative","Sales & Office","*"
5530.0,"Meter Readers, Utilities","Office & Administrative","Sales & Office","*"
5540.0,"Postal Service Clerks","Office & Administrative","Sales & Office","*"
5550.0,"Postal Service Mail Carriers","Office & Administrative","Sales & Office","*"
5560.0,"Postal Service Mail Sorters, Processors, And Processing Machine Operators","Office & Administrative","Sales & Office","*"
5600.0,"Production, Planning, And Expediting Clerks","Office & Administrative","Sales & Office","*"
5610.0,"Shipping, Receiving, And Inventory Clerks","Office & Administrative","Sales & Office","*"
5630.0,"Weighers, Measurers, Checkers, And Samplers, Recordkeeping","Office & Administrative","Sales & Office","*"
5710.0,"Executive Secretaries And Executive Administrative Assistants","Office & Administrative","Sales & Office","*"
5720.0,"Legal Secretaries and Administrative Assistants","Office & Administrative","Sales & Office","*"
5730.0,"Medical Secretaries and Administrative Assistants","Office & Administrative","Sales & Office","*"
5740.0,"Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","Office & Administrative","Sales & Office","*"
5810.0,"Data Entry Keyers","Office & Administrative","Sales & Office","*"
5820.0,"Word Processors And Typists","Office & Administrative","Sales & Office","*"
5840.0,"Insurance Claims And Policy Processing Clerks","Office & Administrative","Sales & Office","*"
5850.0,"Mail Clerks And Mail Machine Operators, Except Postal Service","Office & Administrative","Sales & Office","*"
5860.0,"Office Clerks, General","Office & Administrative","Sales & Office","*"
5900.0,"Office Machine Operators, Except Computer","Office & Administrative","Sales & Office","*"
5910.0,"Proofreaders And Copy Markers","Office & Administrative","Sales & Office","*"
5920.0,"Statistical Assistants","Office & Administrative","Sales & Office","*"
5940.0,"Other Office And Administrative Support Workers","Office & Administrative","Sales & Office","*"
6005.0,"First-Line Supervisors Of Farming, Fishing, And Forestry Workers","Farming & Forestry","Trade / Manual Labor","*"
6010.0,"Agricultural Inspectors","Farming & Forestry","Trade / Manual Labor","*"
6040.0,"Graders And Sorters, Agricultural Products","Farming & Forestry","Trade / Manual Labor","*"
6050.0,"Other Agricultural Workers","Farming & Forestry","Trade / Manual Labor","*"
6115.0,"Fishing And Hunting Workers","Farming & Forestry","Trade / Manual Labor","*"
6120.0,"Forest And Conservation Workers","Farming & Forestry","Trade / Manual Labor","*"
6130.0,"Logging Workers","Farming & Forestry","Trade / Manual Labor","*"
6200.0,"First-Line Supervisors Of Construction Trades And Extraction Workers","Construction","Trade / Manual Labor","*"
6210.0,"Boilermakers","Construction","Trade / Manual Labor","*"
6220.0,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","Construction","Trade / Manual Labor","*"
6230.0,"Carpenters","Construction","Trade / Manual Labor","*"
6240.0,"Carpet, Floor, And Tile Installers And Finishers","Construction","Trade / Manual Labor","*"
6250.0,"Cement Masons, Concrete Finishers, And Terrazzo Workers","Construction","Trade / Manual Labor","*"
6260.0,"Construction Laborers","Construction","Trade / Manual Labor","*"
6305.0,"Construction Equipment Operators","Construction","Trade / Manual Labor","*"
6330.0,"Drywall Installers, Ceiling Tile Installers, And Tapers","Construction","Trade / Manual Labor","*"
6355.0,"Electricians","Construction","Trade / Manual Labor","*"
6360.0,"Glaziers","Construction","Trade / Manual Labor","*"
6400.0,"Insulation Workers","Construction","Trade / Manual Labor","*"
6410.0,"Painters and Paperhangers","Construction","Trade / Manual Labor","*"
6441.0,"Pipelayers","Construction","Trade / Manual Labor","*"
6442.0,"Plumbers, Pipefitters, And Steamfitters","Construction","Trade / Manual Labor","*"
6460.0,"Plasterers And Stucco Masons","Construction","Trade / Manual Labor","*"
